Nº inventário;Localização;Denominação;Incorporação em
884012;21080045;VARIADOR DE TENSÃO MONOFÁSICO;22/12/2008
884016;21080045;VARIADOR DE TENSÃO MONOFÁSICO;22/12/2008
884017;21080045;VARIADOR DE TENSÃO MONOFÁSICO;22/12/2008
821929;21080024;MÁQUINA  SERRAR METAIS  FITA-VERTIC. RONEMAK;20/02/2008
836958;21080024;JOGO DE CALÇOS PARALELOS BRASFIXO 017946;02/04/2008
836959;21080024;JOGO DE CALÇOS PARALELOS BRASFIXO 017946;02/04/2008
883938;21080054;CABEÇOTE AUTOMÁTICO P/BROQUEAR;10/12/2008
832668;21080013;APARELHO DE DVD DIVX HDMI/ DVP-5965 PHILIPS;17/03/2008
832671;21080013;APARELHO DE DVD DIVX HDMI/ DVP-5965 PHILIPS;17/03/2008
832665;21080013;APARELHO DE DVD DIVX HDMI/ DVP-5965 PHILIPS;17/03/2008
832667;21080013;APARELHO DE DVD DIVX HDMI/ DVP-5965 PHILIPS;17/03/2008
876143;21080045;MOTOR MONOF.C/CAPACITOR PERMANENTE-KCEL;01/12/2008
876142;21080045;MOTOR MONOF.C/CAPACITOR PERMANENTE-KCEL;01/12/2008
887161;21080046;CONJUNTO ESTUDOS CONVERS.CA/CC-DE LORENZO;16/01/2009
887162;21080046;CONJUNTO ESTUDOS CONVERS.CA/CC-DE LORENZO;16/01/2009
888128;21080022;APARELHO MED.FORÇ.FIXAÇÃO EIXO ARV.CLAMPRITE;06/02/2009
896121;21080033;PAINEL P/ ALIMENTAÇÃO DE BANCADA EDUTEC;23/04/2009
896122;21080033;PAINEL P/ ALIMENTAÇÃO DE BANCADA EDUTEC;23/04/2009
902139;21080033;PAINEL PARA ALIMENTAÇÃO DE BANCADA;18/06/2009
896120;21080043;PAINEL P/ ALIMENTAÇÃO DE BANCADA EDUTEC;23/04/2009
896123;21080043;PAINEL P/ ALIMENTAÇÃO DE BANCADA EDUTEC;23/04/2009
896124;21080043;PAINEL P/ ALIMENTAÇÃO DE BANCADA EDUTEC;23/04/2009
896125;21080043;PAINEL P/ ALIMENTAÇÃO DE BANCADA EDUTEC;23/04/2009
896126;21080043;PAINEL P/ ALIMENTAÇÃO DE BANCADA EDUTEC;23/04/2009
896127;21080043;PAINEL P/ ALIMENTAÇÃO DE BANCADA EDUTEC;23/04/2009
896128;21080043;PAINEL P/ ALIMENTAÇÃO DE BANCADA EDUTEC;23/04/2009
896129;21080043;PAINEL P/ ALIMENTAÇÃO DE BANCADA EDUTEC;23/04/2009
890695;21080023;BALANCIM MANUAL 5 A 6T- MASSARO;04/02/2009
914207;21080054;BEBEDOURO GARRAFÃO REFRIGERADO/LIBELL;23/11/2009
888007;21080057;SERRA CIRCULAR ELETR.-185MM OU 7 1/4-BOSCH;02/02/2009
903309;21080020;FOGAREIRO DE ALTA PRESSÃO DE BANCADA;02/07/2009
903310;21080020;FOGAREIRO DE ALTA PRESSÃO DE BANCADA;02/07/2009
914730;21080024;FRESADORA UNIVERSAL C/CABEÇOTE VERTICAL;30/11/2009
914733;21080024;FRESADORA UNIVERSAL C/CABEÇOTE VERTICAL;30/11/2009
914736;21080024;FRESADORA UNIVERSAL C/CABEÇOTE VERTICAL;30/11/2009
889644;21080023;APARELHO P/PONTO DE FULGOR/QUIMIS;10/02/2009
899959;21080023;CONJUNTO  TESTE E MANUTENÇÃO DE BOMBAS;26/06/2009
913701;21080013;CONJ.DE 40 TERMINAIS P/AVALIAÇÃO/CRICKET;24/11/2009
913958;21080013;CONJ. DE 40 TERMINAIS P/AVALIAÇÃO/CRIKET;25/11/2009
913959;21080013;CONJ. DE 40 TERMINAIS P/AVALIAÇÃO/CRIKET;25/11/2009
890544;21080045;CONJUNTO FREIO MOTOR ELÉTRICO -BIT 9;20/02/2009
890545;21080045;CONJUNTO FREIO MOTOR ELÉTRICO -BIT 9;20/02/2009
969428;21080033;CONJUNTO  ALARME  INCÊNDIO ENDEREÇÁVEL;17/12/2010
964228;21080057;COMPRESSOR DE AR 1 ESTÁG.PORTÁTIL/SCHULZ;22/11/2010
929547;21080023;ESMERILHADEIRA ANGULAR 7P 220V/MAKITA;24/02/2010
933394;21080023;MÁQUINA DE LAVAR PEÇAS/BEZAFER;17/03/2010
927265;21080012;TERMINAL INTERATIVO P/APRESENT./SMART;02/02/2010
924872;21080013;APARELHO GRAVADOR DE DVD/LG;20/01/2010
924870;21080013;APARELHO GRAVADOR DE DVD/LG;20/01/2010
924494;21080013;APARELHO GRAVADOR DE DVD/LG;20/01/2010
931682;21080044;MOTO ESMERIL  COLUNA   2,5CV - BAMBOZZI;05/03/2010
937843;21080022;FURADEIRA/PARAFUSAD.IMP.BATERIA/DEWALT;05/04/2010
954131;21080057;PARAFUSADEIRA DE 5MM/MAKITA;23/08/2010
937924;21080057;PLAINA ELÉTRICA PORTÁTIL 110V/BOSCH;05/04/2010
938574;21080057;FURADEIRA PARAFUSAD.IMP.3/8P BAT/BOSCH;09/04/2010
934678;21080057;MOTO ESMERIL BANCADA C/PED.TRIF./CEL;24/03/2010
938570;21080023;FURADEIRA PARAFUSAD.IMP.3/8P BAT/BOSCH;09/04/2010
938571;21080023;FURADEIRA PARAFUSAD.IMP.3/8P BAT/BOSCH;09/04/2010
937860;21080057;PLAINA ELÉTRICA PORTÁTIL 110V/BOSCH;05/04/2010
954129;21080057;SERRA MÁRMORE 125MM 1450W-220V/BOSCH;23/08/2010
952074;21080057;SERRA MÁRMORE 125MM 1450W-220V/BOSCH;13/08/2010
940446;21080046;TACÔMETRO DIG.PORT.MIRA A LASER/POLITERM;07/04/2010
930401;21080038;PAINEL PARA ALIMENTAÇÃO DE BANCADA;12/02/2010
930402;21080038;PAINEL PARA ALIMENTAÇÃO DE BANCADA;12/02/2010
930398;21080038;PAINEL PARA ALIMENTAÇÃO DE BANCADA;12/02/2010
930403;21080038;PAINEL PARA ALIMENTAÇÃO DE BANCADA;12/02/2010
930404;21080038;PAINEL PARA ALIMENTAÇÃO DE BANCADA;12/02/2010
930397;21080038;PAINEL PARA ALIMENTAÇÃO DE BANCADA;12/02/2010
928221;21080033;PAINEL PARA ALIMENTAÇÃO DE BANCADA;09/02/2010
928223;21080033;PAINEL PARA ALIMENTAÇÃO DE BANCADA;09/02/2010
928224;21080033;PAINEL PARA ALIMENTAÇÃO DE BANCADA;09/02/2010
934145;21080033;PAINEL PARA ALIMENTAÇÃO DE BANCADA;18/03/2010
934146;21080033;PAINEL PARA ALIMENTAÇÃO DE BANCADA;18/03/2010
930399;21080038;PAINEL PARA ALIMENTAÇÃO DE BANCADA;12/02/2010
930400;21080038;PAINEL PARA ALIMENTAÇÃO DE BANCADA;12/02/2010
996182;21080022;CONJ. P/ESTUDO DE TECNOLOGIA CNC;19/04/2011
972197;21080003;CONJUNTO COMANDOS ELETROELETRÔN./DLB;05/01/2011
972198;21080045;CONJUNTO COMANDOS ELETROELETRÔN./DLB;05/01/2011
972199;21080045;CONJUNTO COMANDOS ELETROELETRÔN./DLB;05/01/2011
972196;21080003;CONJUNTO COMANDOS ELETROELETRÔN./DLB;05/01/2011
985066;21080045;CONJUNTO DE PRÉ AUTOMAÇÃO / FINDER;03/03/2011
985067;21080045;CONJUNTO DE PRÉ AUTOMAÇÃO / FINDER;03/03/2011
985068;21080045;CONJUNTO DE PRÉ AUTOMAÇÃO / FINDER;03/03/2011
985069;21080045;CONJUNTO DE PRÉ AUTOMAÇÃO / FINDER;03/03/2011
1011737;21080057;LIXADEIRA ORBITAL OSCILANTE 220V/MAKITA;27/12/2011
973817;21080038;SOPRADOR TÉRMICO 127V / BLACK&DECKER;28/01/2011
973818;21080038;SOPRADOR TÉRMICO 127V / BLACK&DECKER;28/01/2011
978418;21080032;ESMERILHADEIRA ANGULAR 7P 220V/MAKITA;17/02/2011
970477;21080044;RETIFICADEIRA MANUAL ELÉTR.1/4P /NEOBRASIL;12/01/2011
970483;21080044;RETIFICADEIRA MANUAL ELÉTR.1/4P /NEOBRASIL;12/01/2011
970486;21080044;RETIFICADEIRA MANUAL ELÉTR.1/4P /NEOBRASIL;12/01/2011
970469;21080044;RETIFICADEIRA MANUAL ELÉTR.1/4P /NEOBRASIL;12/01/2011
973819;21080013;BLU-RAY PLAYER / PHILIPS;27/01/2011
987482;21080044;MOTO ESMERIL DE COLUNA/ BAMBOZZI;17/03/2011
983123;21080013;TERMINAL INTERATIVO P/APRESENT./PROMETHEAN;24/02/2011
980419;21080013;CONJ.40 TERMINAIS P/AVALIAÇÃO/PROMETHEAN;23/02/2011
980420;21080018;TERMINAL INTERATIVO P/APRESENT./PROMETHEAN;23/02/2011
980418;21080013;CONJ.40 TERMINAIS P/AVALIAÇÃO/PROMETHEAN;23/02/2011
983124;21080013;CONJ.40 TERMINAIS P/AVALIAÇÃO/PROMETHEAN;24/02/2011
983125;21080013;CONJ.40 TERMINAIS P/AVALIAÇÃO/PROMETHEAN;24/02/2011
991182;21080013;CONJ. LOCALIZADOR DE CABOS ELÉTR./MINIPA;06/04/2011
991183;21080013;CONJ. LOCALIZADOR DE CABOS ELÉTR./MINIPA;06/04/2011
1011262;21080057;QUADRO INTERATIVO P/APRESENTAÇÕES/TALUA;16/12/2011
1011263;21080057;QUADRO INTERATIVO P/APRESENTAÇÕES/TALUA;16/12/2011
1011734;21080032;ESMERILHADEIRA ANGULAR 7P 220V/MAKITA;27/12/2011
1011735;21080032;ESMERILHADEIRA ANGULAR 7P 220V/MAKITA;27/12/2011
1011333;21080053;LAVADORA ALTA PRESSÃO/KARCHER;26/12/2011
1011742;21080053;LAVADORA ALTA PRESSÃO 220V/JACTO;27/12/2011
1011743;21080053;LAVADORA ALTA PRESSÃO 220V/JACTO;27/12/2011
1011744;21080053;LAVADORA ALTA PRESSÃO 220V/JACTO;27/12/2011
1008422;21080023;DECIBELÍMETRO C/CALIBRADOR /INSTRUTHERM;25/10/2011
1008673;21080042;CONJ. P/CONTROLE DE MEDIDAS E CEP/MITUTOYO;04/11/2011
1011500;21080023;CARRO PORTA PALLET / MENEGOTI;22/12/2011
985617;21080023;JUNTADEIRA DE LÂMINAS / DAMAEQ;11/03/2011
1047410;21080040;CONJ. P/EST.SENSORES MANUFATURA/DE LORENZO;15/08/2012
1017881;21080057;SOPRADOR TÉRMICO 127V/DWT;25/01/2012
1018822;21080057;RETIFICADEIRA MANUAL ELÉTRICA 1/4P /DWT;26/01/2012
1018114;21080057;LIXADEIRA DE CINTA PORTÁTIL ELÉTRICA/DWT;25/01/2012
1018113;21080057;LIXADEIRA DE CINTA PORTÁTIL ELÉTRICA/DWT;25/01/2012
1049355;21080043;CONJ. BÁSICO DE AUTOMAÇÃO INDL./EXSTO;22/10/2012
1049356;21080043;CONJ. BÁSICO DE AUTOMAÇÃO INDL./EXSTO;22/10/2012
1049357;21080043;CONJ. BÁSICO DE AUTOMAÇÃO INDL./EXSTO;22/10/2012
1049358;21080043;CONJ. BÁSICO DE AUTOMAÇÃO INDL./EXSTO;22/10/2012
1049359;21080043;CONJ. BÁSICO DE AUTOMAÇÃO INDL./EXSTO;22/10/2012
1049360;21080043;CONJ. BÁSICO DE AUTOMAÇÃO INDL./EXSTO;22/10/2012
1049361;21080043;CONJ. BÁSICO DE AUTOMAÇÃO INDL./EXSTO;22/10/2012
1049354;21080043;CONJ. BÁSICO DE AUTOMAÇÃO INDL./EXSTO;22/10/2012
1025068;21080043;PROGRAMADOR GRAVADOR UNIVERSAL/LEAP;01/03/2012
1018994;21080038;BEBEDOURO TP GARRAFÃO 110/220V/IBBL;25/01/2012
1018997;21080047;BEBEDOURO TP GARRAFÃO 110/220V/IBBL;25/01/2012
1018998;21080057;BEBEDOURO TP GARRAFÃO 110/220V/IBBL;25/01/2012
1018995;21080018;BEBEDOURO TP GARRAFÃO 110/220V/IBBL;25/01/2012
1018996;21080057;BEBEDOURO TP GARRAFÃO 110/220V/IBBL;25/01/2012
1018999;21080004;BEBEDOURO TP GARRAFÃO 110/220V/IBBL;25/01/2012
1049799;21080045;CONJ. ESTUDO DE CONVERSORES CA/CC /INTER;14/11/2012
1049800;21080045;CONJ. ESTUDO DE CONVERSORES CA/CC /INTER;14/11/2012
1023880;21080053;ASPIRADOR DE PÓ P/SÓLIDOS E LÍQ.70LTS/WAP;17/02/2012
1049493;21080024;NOBREAK ESTAÇÃO DE TRABALHO/RAGTECH;29/10/2012
1023090;21080057;LIMPADOR PROFISSIONAL A VAPOR/LAVOR;06/02/2012
1035683;21080046;FURADEIRA DE BANCADA 25MM/KONE;27/04/2012
1032540;21080024;FURADEIRA DE BANCADA 25MM/KONE;02/04/2012
1012912;21080057;CARREGADOR DE BATERIA 24V / LUFFE;03/01/2012
1039823;21080040;CONJ.COMPONENTES PNEUMÁTICOS EM CORTE;01/06/2012
1024809;21080023;MOTOR TRIF. INDUÇÃO DUAS VELOCIDADES/WEG;28/02/2012
1024812;21080043;MOTOR TRIF. INDUÇÃO DUAS VELOCIDADES/WEG;28/02/2012
1024810;21080023;MOTOR TRIF. INDUÇÃO DUAS VELOCIDADES/WEG;28/02/2012
1024811;21080043;MOTOR TRIF. INDUÇÃO DUAS VELOCIDADES/WEG;28/02/2012
1021398;21080046;MOTOR TRIFÁSICO DE INDUÇÃO/SEW EURODRIVE;01/02/2012
1021399;21080046;MOTOR TRIFÁSICO DE INDUÇÃO/SEW EURODRIVE;01/02/2012
1021400;21080046;MOTOR TRIFÁSICO DE INDUÇÃO/SEW EURODRIVE;01/02/2012
1021401;21080046;MOTOR TRIFÁSICO DE INDUÇÃO/SEW EURODRIVE;01/02/2012
1012508;21080042;CRONÔMETRO DIGITAL PORTÁTIL/INSTRUTHERM;06/01/2012
1012514;21080039;CRONÔMETRO DIGITAL PORTÁTIL/INSTRUTHERM;06/01/2012
1012510;21080039;CRONÔMETRO DIGITAL PORTÁTIL/INSTRUTHERM;06/01/2012
1012511;21080039;CRONÔMETRO DIGITAL PORTÁTIL/INSTRUTHERM;06/01/2012
1012512;21080039;CRONÔMETRO DIGITAL PORTÁTIL/INSTRUTHERM;06/01/2012
1012513;21080039;CRONÔMETRO DIGITAL PORTÁTIL/INSTRUTHERM;06/01/2012
1012509;21080039;CRONÔMETRO DIGITAL PORTÁTIL/INSTRUTHERM;06/01/2012
1012505;21080042;CRONÔMETRO DIGITAL PORTÁTIL/INSTRUTHERM;06/01/2012
1020476;21080044;MÁQUINA SOLDA PONTO MICROPROC.60 KVA/PRESOL;30/01/2012
1035395;21080040;CONJ. COMPONENTES HIDRÁULICOS EM CORTE;24/04/2012
1084166;21080033;ALICATE AMPERÍMETRO TRUE RMS AC-DC/FLUKE;20/09/2013
1084032;21080046;ALICATE AMPERÍMETRO TRUE RMS AC-DC/FLUKE;20/09/2013
1084033;21080046;ALICATE AMPERÍMETRO TRUE RMS AC-DC/FLUKE;20/09/2013
1084034;21080046;ALICATE AMPERÍMETRO TRUE RMS AC-DC/FLUKE;20/09/2013
1084035;21080046;ALICATE AMPERÍMETRO TRUE RMS AC-DC/FLUKE;20/09/2013
1084163;21080033;ALICATE AMPERÍMETRO TRUE RMS AC-DC/FLUKE;20/09/2013
1084165;21080033;ALICATE AMPERÍMETRO TRUE RMS AC-DC/FLUKE;20/09/2013
1075869;21080046;MEGÔHMETRO DIGITAL / FLUKE;02/07/2013
1084168;21080033;ALICATE AMPERÍMETRO TRUE RMS AC-DC/FLUKE;20/09/2013
1084170;21080033;ALICATE AMPERÍMETRO TRUE RMS AC-DC/FLUKE;20/09/2013
1084172;21080033;ALICATE AMPERÍMETRO TRUE RMS AC-DC/FLUKE;20/09/2013
1085134;21080046;ALICATE AMPERÍMETRO TRUE RMS AC-DC /FLUKE;30/09/2013
1085135;21080046;ALICATE AMPERÍMETRO TRUE RMS AC-DC /FLUKE;30/09/2013
1085136;21080046;ALICATE AMPERÍMETRO TRUE RMS AC-DC /FLUKE;30/09/2013
1085137;21080046;ALICATE AMPERÍMETRO TRUE RMS AC-DC /FLUKE;30/09/2013
1070345;21080033;CONJ. P/ESTUDO DE ELETRÔNICA DIG./EDUTEC;22/04/2013
1070346;21080033;CONJ. P/ESTUDO DE ELETRÔNICA DIG./EDUTEC;22/04/2013
1070347;21080033;CONJ. P/ESTUDO DE ELETRÔNICA DIG./EDUTEC;22/04/2013
1070348;21080033;CONJ. P/ESTUDO DE ELETRÔNICA DIG./EDUTEC;22/04/2013
1053890;21080046;SOPRADOR TÉRMICO 127V / DWT;30/01/2013
1053889;21080038;SOPRADOR TÉRMICO 127V / DWT;30/01/2013
1073881;21080033;CONJ. P/ESTUDO ELETRÔNICA ANALÓGICA/EXSTO;19/06/2013
1073878;21080033;CONJ. P/ESTUDO ELETRÔNICA ANALÓGICA/EXSTO;19/06/2013
1073879;21080033;CONJ. P/ESTUDO ELETRÔNICA ANALÓGICA/EXSTO;19/06/2013
1073880;21080033;CONJ. P/ESTUDO ELETRÔNICA ANALÓGICA/EXSTO;19/06/2013
1054317;21080023;ESPECTRÔMETRO DE RAIOS-X PORTÁTIL/ BRUKER;06/02/2013
1053454;21080033;TESTADOR CABO DE VOZ, DADOS E VÍDEO/IDEAL;30/01/2013
1071893;21080044;MÁQUINA SERRAR METAIS DE FITA HORIZ./LLEIDA;16/05/2013
1051312;21080023;SERRA TICO-TICO - MANUAL - 220V / MAKITA;10/01/2013
1051314;21080057;SERRA TICO-TICO - MANUAL - 220V / MAKITA;10/01/2013
1086334;21080057;BOMBA AIRLESS ELÉTRICA / TITAN;03/12/2013
1074170;21080057;REBITADEIRA HIDROPNEUMÁTICA / SUMAKE;17/06/2013
1071720;21080057;LIFT/FLAP (ELEVADOR TETO) P/TV 42P/PROJETELAS;17/05/2013
1072203;21080057;LIFT/FLAP (ELEVADOR TETO)P/TV 42P/PROJETELAS;09/05/2013
1055616;21080057;COMPRESSOR DE AR PARAFUSO 15 CFM/METALPLAN;20/02/2013
1054146;21080024;TORNO MECÂNICO PARALELO UNIVERSAL/ROMI;01/02/2013
1054147;21080024;TORNO MECÂNICO PARALELO UNIVERSAL/ROMI;01/02/2013
1054151;21080024;TORNO MECÂNICO PARALELO UNIVERSAL/ROMI;01/02/2013
1054152;21080024;TORNO MECÂNICO PARALELO UNIVERSAL/ROMI;01/02/2013
1054137;21080024;TORNO MECÂNICO PARALELO UNIVERSAL/ROMI;01/02/2013
1054138;21080024;TORNO MECÂNICO PARALELO UNIVERSAL/ROMI;01/02/2013
1054139;21080024;TORNO MECÂNICO PARALELO UNIVERSAL/ROMI;01/02/2013
1054140;21080024;TORNO MECÂNICO PARALELO UNIVERSAL/ROMI;01/02/2013
1054141;21080024;TORNO MECÂNICO PARALELO UNIVERSAL/ROMI;01/02/2013
1054142;21080024;TORNO MECÂNICO PARALELO UNIVERSAL/ROMI;01/02/2013
1054143;21080024;TORNO MECÂNICO PARALELO UNIVERSAL/ROMI;01/02/2013
1054148;21080024;TORNO MECÂNICO PARALELO UNIVERSAL/ROMI;01/02/2013
1054144;21080024;TORNO MECÂNICO PARALELO UNIVERSAL/ROMI;01/02/2013
1054145;21080024;TORNO MECÂNICO PARALELO UNIVERSAL/ROMI;01/02/2013
1054149;21080024;TORNO MECÂNICO PARALELO UNIVERSAL/ROMI;01/02/2013
1054150;21080024;TORNO MECÂNICO PARALELO UNIVERSAL/ROMI;01/02/2013
1074674;21080044;DOBRADEIRA MANUAL / FACHINI;28/06/2013
1060315;21080053;CORTADOR DE GRAMA A GASOLINA 3,5CV/BRANCO;05/03/2013
1086382;21080023;BOMBA CENTRÍFUGA 25MCA 12 M³/H / THEBE;13/12/2013
1119940;21080057;LIXADEIRA ORBITAL OSCILANTE 220V / DWT;08/09/2014
1119941;21080057;LIXADEIRA ORBITAL OSCILANTE 220V / DWT;08/09/2014
1121947;21080057;SERRA POLICORTE   220V / HITACHI;19/09/2014
1140769;21080013;APARELHO DE BLU-RAY PLAYER / SONY;09/04/2015
1140771;21080013;APARELHO DE BLU-RAY PLAYER / SONY;09/04/2015
1140774;21080013;APARELHO DE BLU-RAY PLAYER / SONY;09/04/2015
1178492;21080023;UNIDADE PORTÁTIL DE FILTRAGEM ÓLEO IND/ HYDAC;23/12/2016
1174718;21080046;MEGÔHMETRO DIGITAL / FLUKE;28/10/2016
1174719;21080046;MEGÔHMETRO DIGITAL / FLUKE;28/10/2016
1174720;21080046;MEGÔHMETRO DIGITAL / FLUKE;28/10/2016
1174753;21080046;ALICATE AMPERÍMETRO TRUE RMS / AC-DC / FLUKE;28/10/2016
1174754;21080046;ALICATE AMPERÍMETRO TRUE RMS / AC-DC / FLUKE;28/10/2016
1174749;21080023;ALICATE AMPERÍMETRO TRUE RMS / AC-DC / FLUKE;28/10/2016
1174750;21080023;ALICATE AMPERÍMETRO TRUE RMS / AC-DC / FLUKE;28/10/2016
1174751;21080023;ALICATE AMPERÍMETRO TRUE RMS / AC-DC / FLUKE;28/10/2016
1174752;21080023;ALICATE AMPERÍMETRO TRUE RMS / AC-DC / FLUKE;28/10/2016
1174716;21080046;MEGÔHMETRO DIGITAL / FLUKE;28/10/2016
1174717;21080046;MEGÔHMETRO DIGITAL / FLUKE;28/10/2016
1178486;21080003;CONJ. DE COMANDOS ELETROELETRÔNICOS/VIVACITY;19/12/2016
1178487;21080003;CONJ. DE COMANDOS ELETROELETRÔNICOS/VIVACITY;19/12/2016
1178488;21080003;CONJ. DE COMANDOS ELETROELETRÔNICOS/VIVACITY;19/12/2016
1178489;21080045;CONJ. DE COMANDOS ELETROELETRÔNICOS/VIVACITY;19/12/2016
1178490;21080045;CONJ. DE COMANDOS ELETROELETRÔNICOS/VIVACITY;19/12/2016
1178475;21080045;CONJ. DE COMANDOS ELETROELETRÔNICOS/VIVACITY;19/12/2016
1178476;21080003;CONJ. DE COMANDOS ELETROELETRÔNICOS/VIVACITY;19/12/2016
1178477;21080003;CONJ. DE COMANDOS ELETROELETRÔNICOS/VIVACITY;19/12/2016
1178478;21080045;CONJ. DE COMANDOS ELETROELETRÔNICOS/VIVACITY;19/12/2016
1178479;21080003;CONJ. DE COMANDOS ELETROELETRÔNICOS/VIVACITY;19/12/2016
1178480;21080003;CONJ. DE COMANDOS ELETROELETRÔNICOS/VIVACITY;19/12/2016
1178481;21080045;CONJ. DE COMANDOS ELETROELETRÔNICOS/VIVACITY;19/12/2016
1178482;21080045;CONJ. DE COMANDOS ELETROELETRÔNICOS/VIVACITY;19/12/2016
1178483;21080003;CONJ. DE COMANDOS ELETROELETRÔNICOS/VIVACITY;19/12/2016
1178484;21080045;CONJ. DE COMANDOS ELETROELETRÔNICOS/VIVACITY;19/12/2016
1178485;21080045;CONJ. DE COMANDOS ELETROELETRÔNICOS/VIVACITY;19/12/2016
1178493;21080022;MÁQUINA MED. COORD. MANUAL PEQ PORTE/ HEXAGON;19/12/2016
1174877;21080023;ANALISADOR PORTÁTIL DE VIBRAÇÃO - HOTTEC;07/11/2016
1174878;21080023;ENDOSCÓPIO INDUSTRIAL PORTÁTIL - PCE;07/11/2016
1178554;21080013;SELETOR MANUAL VÍDEO/ TRANSCORTEC;16/12/2016
1178555;21080049;AMPLIFICADOR DE POTÊNCIA 1000W/ UNIC;16/12/2016
1174983;21080062;CÂMERA FILMADORA FULL HD - SONY;11/11/2016
1169495;21080019;BEBEDOURO TIPO COLUNA P/GARRAFÃO 220V/ LIBELL;18/07/2016
1171986;21080057;FOGÃO INDL. GÁS GLP 4 BOCAS INOX C/FORNO/ESTILO;14/09/2016
1171985;21080057;CHAPA BIFETEIRA INDUSTRIAL GÁS GLP/ ESTILO;14/09/2016
1178470;21080024;RETIFICADORA PLANA HIDRÁULICA/ FERDIMAT;16/12/2016
1171847;21080010;CÂMERA FOTOGRÁFICA DIGITAL 20 MP/SONY;09/09/2016
1178491;21080043;PROGRAMADOR GRAVADOR UNIVERSAL / MABI;23/12/2016
1174939;21080044;MÁQUINA P/OXICORTE SEMI-AUTOMÁTICA - CONDOR;11/11/2016
1174941;21080023;PRENSA TERMINAIS MANG. HIDRÁULICOS - PRESSO;08/11/2016
1174872;21080023;ALINHADOR P/EIXOS A LASER - FIXTURLASER;01/11/2016
1173945;21080057;COMPRESSOR AR PAR. 75 CFM S/RESERV./METALPLAN;06/10/2016
1174940;21080024;FURADEIRA DE COLUNA 30MM - VB;07/11/2016
1174866;21080023;BOMBA CENTRÍFUGA P/USO GERAL - IMBIL;27/10/2016
1175063;21080023;MOTOREDUTOR DE EIXOS PARALELOS SAÍDA OCO-MACOPEMA;16/11/2016
1175064;21080023;MOTOREDUTOR DE EIXOS PARALELOS (0,37KW)-MACOPEMA;16/11/2016
1175065;21080023;MOTOREDUTOR DE EIXOS PARALELOS (0,37KW)-MACOPEMA;16/11/2016
1175066;21080023;MOTOREDUTOR DE ENGRENAGENS HELICOIDAIS-MACOPEMA;16/11/2016
1175067;21080023;MOTOREDUTOR DE ENGRENAGENS HELICOIDAIS-MACOPEMA;16/11/2016
1175068;21080023;MOTOREDUTOR DE ROSCA SEM FIM (0,25 KW)-MACOPEMA;16/11/2016
1175069;21080023;MOTOREDUTOR DE ROSCA SEM FIM (0,25 KW)-MACOPEMA;16/11/2016
1174713;21080023;REDUTOR COROA E ROSCA SEM FIM / MACOPEMA;19/10/2016
1174714;21080023;REDUTOR COROA E ROSCA SEM FIM / MACOPEMA;19/10/2016
1174715;21080023;REDUTOR COM EIXOS PARALELOS / MACOPEMA;19/10/2016
1175062;21080023;MOTOREDUTOR DE EIXOS PARALELOS SAÍDA OCO-MACOPEMA;16/11/2016
1173948;21080023;BOMBA VÁCUO DUPLO ESTÁGIO MANUT./OMEL;10/10/2016
1173947;21080023;BOMBA VÁCUO SIMPLES ESTÁGIO MANUT./BVM/II;10/10/2016
1173946;21080023;BOMBA VÁCUO SIMPLES ESTÁGIO MANUT./BVM/II;10/10/2016
1174873;21080023;MEDIDOR DE PH PORTÁTIL AUTOMOBILÍSTICA - DIGIMED;04/11/2016
1174875;21080023;ALINHADOR DE POLIAS POR LASER - EASY LASER;08/11/2016
1178472;21080023;PAINEL DIDÁTICO LUBRIF CENTRAL DUPLA/ EXIMPORT;16/12/2016
1178473;21080023;PAINEL DIDÁTICO LUBRIF CENTRAL SIMPLES/VIVACITY;16/12/2016
1174869;21080044;AFIADOR P/ELETRODOS DE TUNGSTENIO - CARBOGRAFITE;01/11/2016
1178474;21080023;PAINEL DIDÁTICO LUBRIF CENTRAL PROGRESS/ EXIMPORT;16/12/2016
1174022;21080023;PLATAFORMA HIDRÁULICA ELEVADORA / MARCON;13/10/2016
1174023;21080023;GUINCHO HIDRÁULICO MÓVEL 1000KG / MARCON;13/10/2016
1174871;21080023;REFRATÔMETRO MANUAL 0 A 32% BRIX - INSTRUTHERM;01/11/2016
1175072;21080042;BANHO DE ULTRASSOM - UNIQUE;23/11/2016
1172835;21080023;CONJ. DIDÁTICO MONT/DESMONT ROLAMENTOS//SKF;21/09/2016
1175169;21080044;MÁQUINA DE SOLDA MULTIPROCESSO / THERMADYNE;05/12/2016
1175170;21080044;MÁQUINA DE SOLDA MULTIPROCESSO / THERMADYNE;05/12/2016
1175171;21080044;MÁQUINA DE SOLDA MULTIPROCESSO / THERMADYNE;05/12/2016
1175172;21080044;MÁQUINA DE SOLDA MULTIPROCESSO / THERMADYNE;05/12/2016
1174930;21080046;TACÔMETRO DIGITAL PORTÁTIL - POLITERM;10/11/2016
1174931;21080046;TACÔMETRO DIGITAL PORTÁTIL - POLITERM;10/11/2016
1174932;21080046;TACÔMETRO DIGITAL PORTÁTIL - POLITERM;10/11/2016
1174933;21080046;TACÔMETRO DIGITAL PORTÁTIL - POLITERM;10/11/2016
1174934;21080023;TACÔMETRO DIGITAL PORTÁTIL - POLITERM;10/11/2016
